73:  Para cada actor, cuenta en cuántas tiendas distintas se han alquilado sus películas.
actor_id	first_name	last_name	stores_with_actor_films_rented
89	CHARLIZE	DENCH	2
90	SEAN	GUINESS	2
91	CHRISTOPHER	BERRY	2
92	KIRSTEN	AKROYD	2
93	ELLEN	PRESLEY	2
94	KENNETH	TORN	2
95	DARYL	WAHLBERG	2
96	GENE	WILLIS	2
97	MEG	HAWKE	2
98	CHRIS	BRIDGES	2
99	JIM	MOSTEL	2
100	SPENCER	DEPP	2
101	SUSAN	DAVIS	2
102	WALTER	TORN	2
103	MATTHEW	LEIGH	2
104	PENELOPE	CRONYN	2
105	SIDNEY	CROWE	2
106	GROUCHO	DUNST	2
107	GINA	DEGENERES	2
108	WARREN	NOLTE	2
109	SYLVESTER	DERN	2
110	SUSAN	DAVIS	2
111	CAMERON	ZELLWEGER	2
112	RUSSELL	BACALL	2
113	MORGAN	HOPKINS	2
114	MORGAN	MCDORMAND	2
115	HARRISON	BALE	2
116	DAN	STREEP	2
117	RENEE	TRACY	2
118	CUBA	ALLEN	2
119	WARREN	JACKMAN	2
120	PENELOPE	MONROE	2
121	LIZA	BERGMAN	2
122	SALMA	NOLTE	2
123	JULIANNE	DENCH	2
124	SCARLETT	BENING	2
125	ALBERT	NOLTE	2
126	FRANCES	TOMEI	2
127	KEVIN	GARLAND	2
128	CATE	MCQUEEN	2
129	DARYL	CRAWFORD	2
130	GRETA	KEITEL	2
131	JANE	JACKMAN	2
132	ADAM	HOPPER	2
133	RICHARD	PENN	2
134	GENE	HOPKINS	2
135	RITA	REYNOLDS	2
136	ED	MANSFIELD	2
137	MORGAN	WILLIAMS	2
138	LUCILLE	DEE	2
139	EWAN	GOODING	2
140	WHOOPI	HURT	2
141	CATE	HARRIS	2
142	JADA	RYDER	2
143	RIVER	DEAN	2
144	ANGELA	WITHERSPOON	2
145	KIM	ALLEN	2
146	ALBERT	JOHANSSON	2
147	FAY	WINSLET	2
148	EMILY	DEE	2
149	RUSSELL	TEMPLE	2
150	JAYNE	NOLTE	2
151	GEOFFREY	HESTON	2
152	BEN	HARRIS	2
153	MINNIE	KILMER	2
154	MERYL	GIBSON	2
155	IAN	TANDY	2
156	FAY	WOOD	2
157	GRETA	MALDEN	2
158	VIVIEN	BASINGER	2
159	LAURA	BRODY	2
160	CHRIS	DEPP	2
161	HARVEY	HOPE	2
162	OPRAH	KILMER	2
163	CHRISTOPHER	WEST	2
164	HUMPHREY	WILLIS	2
165	AL	GARLAND	2
166	NICK	DEGENERES	2
167	LAURENCE	BULLOCK	2
168	WILL	WILSON	2
169	KENNETH	HOFFMAN	2
170	MENA	HOPPER	2
171	OLYMPIA	PFEIFFER	2
172	GROUCHO	WILLIAMS	2
173	ALAN	DREYFUSS	2
174	MICHAEL	BENING	2
175	WILLIAM	HACKMAN	2
176	JON	CHASE	2
177	GENE	MCKELLEN	2
178	LISA	MONROE	2
179	ED	GUINESS	2
180	JEFF	SILVERSTONE	2
181	MATTHEW	CARREY	2
182	DEBBIE	AKROYD	2
183	RUSSELL	CLOSE	2
184	HUMPHREY	GARLAND	2
185	MICHAEL	BOLGER	2
186	JULIA	ZELLWEGER	2
187	RENEE	BALL	2
188	ROCK	DUKAKIS	2
189	CUBA	BIRCH	2
190	AUDREY	BAILEY	2
191	GREGORY	GOODING	2
192	JOHN	SUVARI	2
193	BURT	TEMPLE	2
194	MERYL	ALLEN	2
195	JAYNE	SILVERSTONE	2
196	BELA	WALKEN	2
197	REESE	WEST	2
198	MARY	KEITEL	2
199	JULIA	FAWCETT	2
200	THORA	TEMPLE	2

