49:  Para cada ciudad, suma los importes pagados por clientes que residen en esa ciudad.
city_id	city	total_paid
198	Halle/Saale	120.69
312	London	180.52
338	Miyakonojo	127.71
413	Poços de Caldas	116.68
192	Hagonoy	70.82
342	Monywa	112.70
64	Beira	151.63
460	Santiago de los Caballeros	110.76
197	Halisahar	168.68
136	Datong	122.69
548	Tuguegarao	107.74
414	Portoviejo	119.72
323	Mandaluyong	122.71
203	Higashiosaka	98.75
378	Olomouc	133.71
447	Salzburg	118.72
298	Lengshuijiang	159.64
395	Palghat (Palakkad)	123.71
446	Salinas	129.70
255	Kalisz	104.75
283	Kumbakonam	68.82
584	Yantai	98.80
445	Salamanca	157.65
263	Karnal	152.65
404	Peoria	108.70
573	Warren	122.72
374	Ogbomosho	144.68
222	Inegöl	88.74
514	Tabriz	135.69
389	Owo	118.73
175	Fuzhou	50.86
411	Ponce	103.73
277	Korla	86.72
69	Benin City	126.72
386	Otsu	135.74
152	Effon-Alaiye	117.73
522	Tambaram	115.71
563	Valle de Santiago	80.76
279	Kowloon and New Kowloon	142.70
562	Valle de la Pascua	109.72
433	Roanoke	95.77
470	Sharja	118.73
146	Donostia-San Sebastián	158.69
140	Dayton	113.74
274	Kolpino	162.62
400	Patiala	129.70
9	Ahmadnagar	128.67
387	Oulu	101.74
205	Hiroshima	131.70
398	Parbhani	137.69
254	Kaliningrad	92.79
536	Tiefa	127.71
455	Sanaa	100.74
99	Callao	115.74
33	Arlington	109.75
507	Sungai Petani	138.68
25	Angra dos Reis	134.70
262	Kansas City	105.75
91	Brescia	147.69
215	Ibirité	97.80
286	Kursk	120.77
515	Tabuk	104.74
166	Ezhou	89.77
490	Sorocaba	131.67
57	Bat Yam	84.83
336	Miraj	132.71
545	Tórshavn	114.72
97	Bydgoszcz	52.88
451	San Felipe del Progreso	132.70
516	Tafuna	71.80
81	Birgunj	116.78
45	Bahía Blanca	128.72
130	Cuautla	114.69
591	Yuzhou	103.75
89	Brasília	91.78
269	Kingstown	96.75
5	Adana	112.74
119	Ciparay	90.77
234	Jamalpur	127.68
42	Aurora	198.50
457	Santa Fé	122.73
143	Dhaka	118.72
48	Baku	109.73
505	Sumqayit	135.70
492	Sousse	78.77
427	Rampur	119.70
382	Onomichi	143.71
392	Paarl	114.72
581	Xinxiang	127.70
201	Hanoi	119.69
151	Ede	106.77
84	Boa Vista	130.68
335	Mexicali	114.75
370	Nuku´alofa	73.82
453	San Lorenzo	106.77
320	Maikop	155.68
137	Daugavpils	142.70
209	Hsichuh	146.64
221	Imus	138.71
531	Tšeboksary	73.77
597	Zeleznogorsk	89.76
52	Bamenda	99.77
393	Pachuca de Soto	72.82
461	Santo André	129.64
331	Matsue	72.80
464	Satna	121.70
90	Bratislava	89.74
429	Ranchi	80.79
20	Almirante Brown	101.75
32	Arecibo	150.66
585	Yaoundé	100.69
66	Belém	145.68
372	Nyeri	143.71
188	Guadalajara	95.77
377	Okinawa	103.77
50	Balikesir	152.63
8	Adoni	101.78
356	Najafabad	157.65
250	Juárez	88.75
191	Gulbarga	70.81
98	Cabuyao	149.65
415	Probolinggo	158.66
523	Tanauan	161.65
572	Vitória de Santo Antão	103.72
348	Mwene-Ditu	110.76
285	Kurgan	110.72
265	Kermanshah	93.74
471	Shenzhen	71.81
73	Bhavnagar	106.77
549	Tychy	136.64
493	South Hill	106.65
322	Manchester	91.76
360	Namibe	103.73
210	Huai´an	89.75
521	Tama	101.74
258	Kamjanets-Podilskyi	117.71
315	Lubumbashi	101.74
104	Cavite	124.70
157	Emeishan	124.74
358	Nakhon Sawan	152.67
229	Izumisano	104.70
6	Addis Abeba	91.77
278	Korolev	121.69
181	Gijón	84.78
15	al-Qadarif	57.81
228	Iwatsuki	111.73
39	Atšinsk	105.71
44	Bagé	78.84
375	Okara	91.79
135	Dallas	124.72
276	Koriyama	73.79
92	Brest	79.80
564	Valparai	166.65
380	Omiya	139.70
524	Tandil	109.68
111	Charlotte Amalie	122.68
437	Rustenburg	112.73
230	Jaffna	116.70
141	Deba Habe	104.77
430	Richmond Hill	167.62
117	Cianjur	80.74
208	Hoshiarpur	85.79
71	Berhampore (Baharampur)	75.79
19	Allende	105.75
23	Amersfoort	93.77
134	Dadu	121.69
16	al-Qatif	110.75
450	San Felipe de Puerto Plata	107.70
264	Katihar	89.75
155	El Monte	79.79
416	Pudukkottai	119.73
293	Laohekou	97.74
465	Sawhaj	120.74
468	Shanwei	110.70
452	San Juan Bautista Tuxtepec	104.74
418	Purnea (Purnia)	126.73
189	Guarujá	114.76
510	Syktyvkar	78.80
547	Tsuyama	105.79
150	Dzerzinsk	79.78
501	Sucre	95.77
364	Newcastle	116.77
351	Naçala-Porto	133.75
391	Ozamis	128.73
249	Junan	91.75
565	Vancouver	144.70
290	La Romana	99.77
272	Kitwe	134.67
70	Bergamo	151.64
144	Dhule (Dhulia)	88.78
59	Batna	112.72
540	Tongliao	118.68
486	São Leopoldo	98.78
530	Tartu	115.70
161	Escobar	102.74
554	Uluberia	116.69
352	Nabereznyje Tšelny	113.71
160	Erlangen	135.71
481	Sirjan	99.80
509	Surakarta	89.74
154	El Fuerte	128.67
3	Abu Dhabi	107.68
326	Maracaíbo	111.77
556	Uruapan	151.67
153	El Alto	87.76
600	Ziguinchor	100.75
435	Rockford	114.72
532	Tegal	66.81
423	Qomsheh	186.62
170	Florencia	109.75
182	Gingoog	97.72
558	Usolje-Sibirskoje	159.67
196	Halifax	91.75
428	Rancagua	73.84
595	Zapopan	69.83
145	Dongying	104.77
129	Cuauhtémoc	139.71
78	Bijapur	175.61
388	Ourense (Orense)	177.60
206	Hodeida	160.68
244	Johannesburg	109.73
359	Nam Dinh	141.70
301	Lhokseumawe	134.66
158	Emmen	100.74
385	Šostka	103.76
179	Gatineau	95.78
500	Stockport	109.78
36	Ashqelon	86.81
11	Akron	146.69
180	Gaziantep	101.78
347	Mwanza	115.71
125	Coatzacoalcos	138.71
142	Denizli	88.82
587	Yinchuan	139.70
469	Shaoguan	115.71
4	Acuña	113.74
408	Pjatigorsk	119.74
288	La Paz	95.78
376	Okayama	99.79
487	Sogamoso	117.76
337	Mit Ghamr	124.73
261	Kanchrapara	65.84
504	Sultanbeyli	112.77
434	Ríobamba	140.69
47	Baiyin	120.74
432	Rizhao	88.79
589	York	129.72
444	Salala	97.73
93	Brindisi	123.70
318	Madiun	115.72
314	Lublin	89.79
478	Siliguri (Shiliguri)	138.66
552	Ueda	115.68
245	Joliet	133.72
519	Talavera	97.79
412	Pontianak	152.65
163	Eskisehir	95.75
568	Vijayawada	127.75
110	Chapra	100.80
259	Kamyšin	122.74
502	Suihua	99.76
583	Yangor	148.69
594	Zaoyang	74.78
127	Coquimbo	126.72
60	Battambang	98.74
116	Chungho	105.75
482	Sivas	111.74
224	Isesaki	103.77
366	Nha Trang	134.68
588	Yingkou	80.77
458	Santa Rosa	167.67
571	Vinh	93.78
419	Purwakarta	87.81
551	Udine	74.81
101	Cape Coral	221.55
339	Mogiljov	81.76
67	Benguela	111.75
75	Bhimavaram	118.71
165	Ezeiza	76.77
287	Kuwana	118.75
100	Cam Ranh	152.68
80	Binzhou	141.67
24	Amroha	88.76
363	NDjamna	135.68
539	Tonghae	117.75
46	Baicheng	117.71
561	Valencia	90.78
436	Ruse	112.76
309	Livorno	108.76
396	Pangkal Pinang	94.82
68	Beni-Mellal	82.78
485	São Bernardo do Campo	98.78
275	Konotop	89.79
462	Sanya	103.75
260	Kanazawa	99.77
528	Tarlac	79.81
459	Santiago de Compostela	77.80
599	Zhoushan	159.68
21	Alvorada	96.74
193	Haining	90.79
368	Novi Sad	107.76
426	Rajkot	101.78
112	Chatsworth	74.83
496	Southport	83.79
570	Vilnius	73.76
577	Wroclaw	135.72
79	Bilbays	110.72
43	Avellaneda	132.70
178	Garland	96.73
488	Sokoto	109.75
95	Bucuresti	110.71
580	Xintai	91.76
214	Huánuco	126.71
538	Tokat	141.66
466	Serpuhov	85.80
55	Barcelona	66.79
299	Leshan	134.68
341	Monclova	99.74
409	Plock	121.76
133	Czestochowa	108.75
598	Zhezqazghan	120.71
10	Akishima	109.72
131	Cuernavaca	126.71
168	Fengshan	139.66
526	Tanshui	117.73
103	Carmen	96.78
344	Mosul	111.73
219	Iligan	99.73
246	José Azueta	107.73
212	Huejutla de Reyes	113.75
494	Southampton	117.77
54	Banjul	129.70
424	Quilmes	117.76
546	Tsaotun	64.81
106	Celaya	108.74
574	Weifang	115.71
311	Loja	129.72
14	al-Manama	112.75
248	Juiz de Fora	134.73
512	Székesfehérvár	111.71
177	Garden Grove	113.74
241	Jining	130.73
242	Jinzhou	117.70
401	Patras	96.72
503	Sullana	99.75
296	Lausanne	83.78
537	Tieli	83.81

