47:  Para cada película, cuenta cuántos actores tienen el apellido de longitud >= 5.
film_id	title	actors_lastname_len5plus
335	FREEDOM CLEOPATRA	5
447	ICE CROSSING	6
480	JEEPERS WEDDING	6
509	LANGUAGE COWBOY	5
511	LAWRENCE LOVE	2
608	MURDER ANTITRUST	7
807	SLEUTH ORIENT	5
849	STORM HAPPINESS	8
859	SUGAR WONKA	5
941	VIDEOTAPE ARSENIC	4
43	ATLANTIS CAUSE	7
82	BLOOD ARGONAUTS	4
171	COMMANDMENTS EXPRESS	4
266	DYNAMITE TARZAN	5
272	EDGE KISSING	3
315	FINDING ANACONDA	5
378	GREATEST NORTH	6
492	JUNGLE CLOSER	6
519	LIBERTY MAGNIFICENT	7
533	LOST BIRD	2
548	MAGNIFICENT CHITTY	4
560	MARS ROMAN	6
628	NORTHWEST POLISH	7
820	SONS INTERVIEW	5
899	TOWERS HURRICANE	4
21	AMERICAN CIRCUS	5
153	CITIZEN SHREK	7
204	DALMATIONS SWEDEN	6
226	DESTINY SATURDAY	6
245	DOUBLE WRATH	6
404	HATE HANDICAP	2
538	LOVERBOY ATTACKS	8
583	MISSION ZOOLANDER	4
697	PRIMARY GLASS	7
914	TROUBLE DATE	6
10	ALADDIN CALENDAR	7
12	ALASKA PHANTOM	6
19	AMADEUS HOLY	5
118	CANYON STOCK	3
146	CHITTY LOCK	12
277	ELEPHANT TROJAN	4
317	FIREBALL PHILADELPHIA	4
467	INTRIGUE WORST	5
485	JERSEY SASSY	6
529	LONELY ELEPHANT	10
588	MODEL FISH	5
663	PATIENT SISTER	4
694	PREJUDICE OLEANDER	8
839	STALLION SUNDANCE	7
900	TOWN ARK	4
925	UNITED PILOT	6
963	WATCH TRACY	5
989	WORKING MICROCOSMOS	3
7	AIRPLANE SIERRA	4
138	CHARIOTS CONSPIRACY	2
265	DYING MAKER	2
286	ENOUGH RAGING	7
360	GLASS DYING	4
427	HOMEWARD CIDER	6
448	IDAHO LOVE	5
510	LAWLESS VISION	4
518	LIAISONS SWEET	5
554	MALKOVICH PET	6
571	METAL ARMAGEDDON	7
584	MIXED DOORS	5
730	RIDGEMONT SUBMARINE	4
761	SANTA PARIS	6
818	SOMETHING DUCK	3
920	UNBREAKABLE KARATE	7
965	WATERSHIP FRONTIER	5
72	BILL OTHERS	6
81	BLINDNESS GUN	3
183	CONVERSATION DOWNHILL	3
194	CROW GREASE	9
212	DARN FORRESTER	8
607	MUPPET MILE	7
634	ODDS BOOGIE	4
710	RAGE GAMES	7
721	REDS POCUS	4
782	SHAKESPEARE SADDLE	5
955	WALLS ARTIST	3
985	WONDERLAND CHRISTMAS	4
71	BILKO ANONYMOUS	3
73	BINGO TALENTED	3
203	DAISY MENAGERIE	5
290	EVERYONE CRAFT	4
320	FLAMINGOS CONNECTICUT	8
425	HOLY TADPOLE	2
431	HOOSIERS BIRDCAGE	9
456	INCH JET	4
476	JASON TRAP	5
559	MARRIED GO	3
587	MOD SECRETARY	4
598	MOSQUITO ARMAGEDDON	3
683	PITY BOUND	5
689	POLLOCK DELIVERANCE	5
696	PRIDE ALAMO	4
703	PUNK DIVORCE	5
736	ROBBERY BRIGHT	1
815	SNATCHERS MONTEZUMA	7
831	SPIRITED CASUALTIES	5
20	AMELIE HELLFIGHTERS	4
127	CAT CONEHEADS	3
206	DANCING FEVER	5
248	DOZEN LION	5
342	FUGITIVE MAGUIRE	8
364	GODFATHER DIARY	4
561	MASK PEACH	7
600	MOTIONS DETAILS	5
674	PET HAUNTING	7
680	PINOCCHIO SIMON	9
789	SHOCK CABIN	1
876	TARZAN VIDEOTAPE	3
907	TRANSLATION SUMMER	3
978	WISDOM WORKER	7
63	BEDAZZLED MARRIED	6
191	CROOKED FROGMEN	6
294	EXPECATIONS NATURAL	2
319	FISH OPUS	2
339	FROGMEN BREAKING	5
341	FROST HEAD	5
717	REAR TRADING	7
794	SIDE ARK	5
5	AFRICAN EGG	5
40	ARMY FLINTSTONES	7
74	BIRCH ANTITRUST	6
78	BLACKOUT PRIVATE	5
83	BLUES INSTINCT	4
152	CIRCUS YOUTH	2
195	CROWDS TELEMARK	4
387	GUN BONNIE	5
403	HARRY IDAHO	5
507	LADYBUGS ARMAGEDDON	4
522	LIFE TWISTED	5
542	LUST LOCK	7
546	MADRE GABLES	4
579	MINDS TRUMAN	5
596	MOONSHINE CABIN	4
609	MUSCLE BRIGHT	5
744	ROOTS REMEMBER	8
816	SNOWMAN ROLLERCOASTER	2
836	SQUAD FISH	5
868	SUPERFLY TRIP	5
892	TITANIC BOONDOCK	12
911	TRIP NEWTON	4
921	UNCUT SUICIDES	6
196	CRUELTY UNFORGIVEN	2
249	DRACULA CRYSTAL	10
303	FANTASY TROOPERS	8
331	FORWARD TEMPLE	3
432	HOPE TOOTSIE	4
482	JEOPARDY ENCINO	5
520	LICENSE WEEKEND	8
636	OLEANDER CLUE	9
752	RUNNER MADIGAN	7
808	SLING LUKE	2
857	STRICTLY SCARFACE	3
878	TEEN APOLLO	2
905	TRAINSPOTTING STRANGERS	4
111	CADDYSHACK JEDI	6
185	COWBOY DOOM	4
329	FORREST SONS	4
336	FRENCH HOLIDAY	7
393	HALLOWEEN NUTS	6
441	HUNTER ALTER	3
685	PLATOON INSTINCT	5
996	YOUNG LANGUAGE	3
89	BORROWERS BEDAZZLED	5
150	CIDER DESIRE	5
162	CLUELESS BUCKET	7
238	DOCTOR GRAIL	5
252	DREAM PICKUP	3
401	HAROLD FRENCH	6
458	INDIAN LOVE	10
461	INSECTS STONE	4
521	LIES TREATMENT	4
573	MICROCOSMOS PARADISE	6
740	ROLLERCOASTER BRINGING	2
746	ROUGE SQUAD	3
758	SAINTS BRIDE	9
946	VIRTUAL SPOILERS	2
313	FIDELITY DEVIL	4
388	GUNFIGHT MOON	3
389	GUNFIGHTER MUSSOLINI	3
390	GUYS FALCON	4
715	RANGE MOONWALKER	4
949	VOLCANO TEXAS	5
983	WON DARES	5
80	BLANKET BEVERLY	4
101	BROTHERHOOD BLANKET	5
218	DECEIVER BETRAYED	4
221	DELIVERANCE MULHOLLAND	3
267	EAGLES PANKY	5
269	EARRING INSTINCT	4
271	EASY GLADIATOR	3
280	EMPIRE MALKOVICH	6
287	ENTRAPMENT SATISFACTION	4
345	GABLES METROPOLIS	8
438	HUMAN GRAFFITI	4
455	IMPOSSIBLE PREJUDICE	2
503	KRAMER CHOCOLATE	8
582	MIRACLE VIRTUAL	1
779	SENSE GREEK	5
886	THEORY MERMAID	6
93	BRANNIGAN SUNRISE	2
147	CHOCOLAT HARRY	4
201	CYCLONE FAMILY	2
225	DESTINATION JERK	2
327	FOOL MOCKINGBIRD	2
340	FRONTIER CABIN	5
392	HALL CASSIDY	4
544	MADISON TRAP	4
644	OSCAR GOLD	5
732	RINGS HEARTBREAKERS	8
795	SIEGE MADRE	7
821	SORORITY QUEEN	3
904	TRAIN BUNCH	4
906	TRAMP OTHERS	4
56	BAREFOOT MANCHURIAN	6
166	COLOR PHILADELPHIA	6
202	DADDY PITTSBURGH	5
230	DIARY PANIC	4
247	DOWNHILL ENOUGH	3
367	GOLDMINE TYCOON	7
452	ILLUSION AMELIE	6
471	ISLAND EXORCIST	3
597	MOONWALKER FOOL	5
640	OPUS ICE	4
669	PEARL DESTINY	3
684	PIZZA JUMANJI	4
826	SPEED SUIT	5
834	SPOILERS HELLFIGHTERS	7
910	TREATMENT JEKYLL	5
962	WASTELAND DIVINE	6
250	DRAGON SQUAD	6
282	ENCOUNTERS CURTAIN	4
407	HAWK CHILL	6
433	HORN WORKING	7
469	IRON MOON	6
506	LADY STAGE	7
595	MOON BUNCH	1
729	RIDER CADDYSHACK	6
811	SMILE EARRING	8
927	UPRISING UPTOWN	4
977	WINDOW SIDE	4
980	WIZARD COLDBLOODED	8
59	BEAR GRACELAND	3
70	BIKINI BORROWERS	2
156	CLERKS ANGELS	4
184	CORE SUIT	4
259	DUCK RACER	2
309	FEUD FROGMEN	4
394	HAMLET WISDOM	3
463	INSTINCT AIRPORT	8
516	LEGEND JEDI	4
657	PARADISE SABRINA	3
739	ROCKY WAR	3
926	UNTOUCHABLES SUNRISE	5
984	WONDERFUL DROP	4
999	ZOOLANDER FICTION	3
15	ALIEN CENTER	6
29	ANTITRUST TOMATOES	4
116	CANDIDATE PERDITION	4
158	CLONES PINOCCHIO	5
283	ENDING CROWDS	3
333	FREAKY POCUS	5
372	GRACELAND DYNAMITE	6
377	GREASE YOUTH	3
530	LORD ARIZONA	6
649	OZ LIAISONS	11
750	RUN PACIFIC	6
954	WAKE JAWS	4
993	WRONG BEHAVIOR	8
994	WYOMING STORM	5
114	CAMELOT VACATION	2
134	CHAMPION FLATLINERS	3
192	CROSSING DIVORCE	2
502	KNOCK WARLOCK	6
605	MULHOLLAND BEAST	5
707	QUEST MUSSOLINI	3
767	SCALAWAG DUCK	4
891	TIMBERLAND SKY	3
918	TWISTED PIRATES	3
4	AFFAIR PREJUDICE	5
219	DEEP CRUSADE	7
268	EARLY HOME	4
304	FARGO GANDHI	4
332	FRANKENSTEIN STRANGER	2
398	HANOVER GALAXY	7
465	INTERVIEW LIAISONS	5
613	MYSTIC TRUMAN	3
619	NEIGHBORS CHARADE	6
643	ORIENT CLOSER	4
23	ANACONDA CONFESSIONS	4
79	BLADE POLISH	4
355	GHOSTBUSTERS ELF	1
379	GREEDY ROOTS	4
490	JUMANJI BLADE	6
691	POSEIDON FOREVER	5
798	SILVERADO GOLDFINGER	5
832	SPLASH GUMP	9
909	TREASURE COMMAND	6
189	CREATURES SHAKESPEARE	2
275	EGYPT TENENBAUMS	2
491	JUMPING WRATH	6
617	NATURAL STOCK	3
655	PANTHER REDS	4
702	PULP BEVERLY	6
774	SEARCHERS WAIT	4
841	STAR OPERATION	5
932	VALLEY PACKER	3
936	VANISHING ROCKY	4
8	AIRPORT POLLOCK	3
27	ANONYMOUS HUMAN	7
126	CASUALTIES ENCINO	5
369	GOODFELLAS SALUTE	6
435	HOTEL HAPPINESS	3
525	LOATHING LEGALLY	5
801	SISTER FREDDY	3
961	WASH HEAVENLY	4
99	BRINGING HYSTERICAL	2
164	COAST RAINBOW	9
211	DARLING BREAKING	2
295	EXPENDABLE STALLION	4
349	GANGS PRIDE	2
428	HOMICIDE PEACH	6
570	MERMAID INSECTS	5
599	MOTHER OLEANDER	3
645	OTHERS SOUP	4
757	SAGEBRUSH CLUELESS	7
792	SHREK LICENSE	1
922	UNDEFEATED DALMATIONS	3
69	BEVERLY OUTLAW	2
100	BROOKLYN DESERT	5
159	CLOSER BANG	6
305	FATAL HAUNTED	5
383	GROOVE FICTION	6
678	PICKUP DRIVING	5
724	REMEMBER DIARY	2
942	VIETNAM SMOOCHY	2
112	CALENDAR GUNFIGHT	6
165	COLDBLOODED DARLING	4
209	DARKNESS WAR	2
430	HOOK CHARIOTS	3
445	HYDE DOCTOR	6
574	MIDNIGHT WESTWARD	7
326	FLYING HOOK	6
361	GLEAMING JAWBREAKER	7
366	GOLDFINGER SENSIBILITY	4
580	MINE TITANS	2
867	SUPER WYOMING	3
1000	ZORRO ARK	3
117	CANDLES GRAPES	7
182	CONTROL ANTHEM	3
406	HAUNTING PIANIST	5
410	HEAVEN FREEDOM	9
446	HYSTERICAL GRAIL	7
488	JOON NORTHWEST	2
833	SPLENDOR PATTON	8
976	WIND PHANTOM	2
3	ADAPTATION HOLES	5
105	BULL SHAWSHANK	8
148	CHOCOLATE DUCK	6
429	HONEY TIES	4
577	MILE MULAN	3
589	MODERN DORADO	3
860	SUICIDES SILENCE	3
405	HAUNTED ANTITRUST	5
550	MAGUIRE APACHE	4
753	RUSH GOODFELLAS	4
933	VAMPIRE WHALE	3
380	GREEK EVERYONE	4
466	INTOLERABLE INTENTIONS	5
569	MENAGERIE RUSHMORE	2
875	TALENTED HOMICIDE	5
931	VALENTINE VANISHING	2
956	WANDA CHAMBER	7
1	ACADEMY DINOSAUR	8
14	ALICE FANTASIA	4
51	BALLOON HOMEWARD	3
396	HANGING DEEP	6
412	HEAVYWEIGHTS BEAST	5
566	MAUDE MOD	5
773	SEABISCUIT PUNK	3
44	ATTACKS HATE	3
108	BUTCH PANTHER	2
365	GOLD RIVER	2
439	HUNCHBACK IMPOSSIBLE	2
500	KISS GLORY	7
585	MOB DUFFEL	6
675	PHANTOM GLORY	1
687	POCUS PULP	3
763	SATISFACTION CONFIDENTIAL	4
881	TEMPLE ATTRACTION	3
934	VANILLA DAY	1
2	ACE GOLDFINGER	3
217	DAZED PUNK	6
673	PERSONAL LADYBUGS	9
711	RAGING AIRPLANE	3
756	SADDLE ANTITRUST	3
877	TAXI KICK	5
84	BOILED DARES	7
145	CHISUM BEHAVIOR	4
236	DIVINE RESURRECTION	5
930	VACATION BOONDOCK	6
964	WATERFRONT DELIVERANCE	5
157	CLOCKWORK PARADISE	2
354	GHOST GROUNDHOG	3
382	GRIT CLOCKWORK	3
459	INFORMER DOUBLE	3
727	RESURRECTION SILVERADO	4
749	RULES HUMAN	4
791	SHOW LORD	2
846	STING PERSONAL	5
375	GRAIL FRANKENSTEIN	5
395	HANDICAP BOONDOCK	6
947	VISION TORQUE	4
169	COMFORTS RUSH	5
371	GOSFORD DONNIE	3
615	NASH CHOCOLAT	5
745	ROSES TREASURE	5
193	CROSSROADS CASUALTIES	7
274	EGG IGBY	5
276	ELEMENT FREDDY	4
314	FIGHT JAWBREAKER	3
440	HUNGER ROOF	1
489	JUGGLER HARDLY	8
842	STATE WASTELAND	6
174	CONFIDENTIAL INTERVIEW	1
296	EXPRESS LONELY	8
478	JAWS HARRY	5
567	MEET CHOCOLATE	5
768	SCARFACE BANG	5
200	CURTAIN VIDEOTAPE	2
261	DUFFEL APOCALYPSE	3
373	GRADUATE LORD	1
706	QUEEN LUKE	4
26	ANNIE IDENTITY	3
52	BALLROOM MOCKINGBIRD	4
359	GLADIATOR WESTWARD	6
140	CHEAPER CLYDE	2
939	VERTIGO NORTHWEST	4
197	CRUSADE HONEY	9
330	FORRESTER COMANCHEROS	3
363	GO PURPLE	3
586	MOCKINGBIRD HOLLYWOOD	3
676	PHILADELPHIA WIFE	2
855	STREAK RIDGEMONT	3
901	TRACY CIDER	3
65	BEHAVIOR RUNAWAY	5
131	CENTER DINOSAUR	4
291	EVOLUTION ALTER	5
769	SCHOOL JACKET	6
960	WARS PLUTO	4
523	LIGHTS DEER	2
651	PACKER MADIGAN	1
667	PEACH INNOCENT	3
129	CAUSE DATE	5
424	HOLOCAUST HIGHBALL	4
591	MONSOON CAUSE	5
778	SECRETS PARADISE	5
998	ZHIVAGO CORE	4
307	FELLOWSHIP AUTUMN	6
462	INSIDER ARIZONA	7
844	STEERS ARMAGEDDON	3
851	STRAIGHT HOURS	3
358	GILMORE BOILED	6
863	SUN CONFESSIONS	3
992	WRATH MILE	3
318	FIREHOUSE VIETNAM	4
611	MUSKETEERS WAIT	1
898	TOURIST PELICAN	3
143	CHILL LUCK	5
951	VOYAGE LEGALLY	4
167	COMA HEAD	2
501	KISSING DOLLS	3
895	TOMORROW HUSTLER	6
58	BEACH HEARTBREAKERS	6
