33:  Para cada película, cuenta cuántos alquileres se han hecho de sus copias.
film_id	title	rentals_of_film
322	FLATLINERS KILLER	22
323	FLIGHT LIES	12
324	FLINTSTONES HAPPINESS	17
326	FLYING HOOK	20
327	FOOL MOCKINGBIRD	23
328	FOREVER CANDIDATE	13
329	FORREST SONS	18
330	FORRESTER COMANCHEROS	27
331	FORWARD TEMPLE	32
333	FREAKY POCUS	17
334	FREDDY STORM	23
335	FREEDOM CLEOPATRA	5
336	FRENCH HOLIDAY	17
337	FRIDA SLIPPER	11
338	FRISCO FORREST	9
339	FROGMEN BREAKING	10
340	FRONTIER CABIN	6
341	FROST HEAD	30
342	FUGITIVE MAGUIRE	11
343	FULL FLATLINERS	5
344	FURY MURDER	19
345	GABLES METROPOLIS	19
346	GALAXY SWEETHEARTS	18
347	GAMES BOWFINGER	14
348	GANDHI KWAI	17
349	GANGS PRIDE	27
350	GARDEN ISLAND	20
351	GASLIGHT CRUSADE	16
352	GATHERING CALENDAR	11
353	GENTLEMEN STAGE	23
354	GHOST GROUNDHOG	21
355	GHOSTBUSTERS ELF	9
356	GIANT TROOPERS	28
357	GILBERT PELICAN	9
358	GILMORE BOILED	28
360	GLASS DYING	14
361	GLEAMING JAWBREAKER	29
362	GLORY TRACY	5
363	GO PURPLE	20
364	GODFATHER DIARY	8
365	GOLD RIVER	14
366	GOLDFINGER SENSIBILITY	24
367	GOLDMINE TYCOON	27
368	GONE TROUBLE	10
369	GOODFELLAS SALUTE	31
370	GORGEOUS BINGO	19
371	GOSFORD DONNIE	8
372	GRACELAND DYNAMITE	6
373	GRADUATE LORD	16
374	GRAFFITI LOVE	30
375	GRAIL FRANKENSTEIN	10
376	GRAPES FURY	22
377	GREASE YOUTH	21
378	GREATEST NORTH	29
379	GREEDY ROOTS	14
380	GREEK EVERYONE	17
381	GRINCH MASSAGE	14
382	GRIT CLOCKWORK	32
383	GROOVE FICTION	18
384	GROSSE WONDERFUL	8
385	GROUNDHOG UNCUT	18
387	GUN BONNIE	25
388	GUNFIGHT MOON	24
389	GUNFIGHTER MUSSOLINI	12
390	GUYS FALCON	9
391	HALF OUTFIELD	26
392	HALL CASSIDY	16
393	HALLOWEEN NUTS	10
394	HAMLET WISDOM	14
395	HANDICAP BOONDOCK	28
396	HANGING DEEP	19
397	HANKY OCTOBER	26
398	HANOVER GALAXY	17
399	HAPPINESS UNITED	6
400	HARDLY ROBBERS	4
401	HAROLD FRENCH	8
402	HARPER DYING	20
403	HARRY IDAHO	30
405	HAUNTED ANTITRUST	6
406	HAUNTING PIANIST	22
407	HAWK CHILL	7
408	HEAD STRANGER	22
409	HEARTBREAKERS BRIGHT	20
410	HEAVEN FREEDOM	18
411	HEAVENLY GUN	7
412	HEAVYWEIGHTS BEAST	23
413	HEDWIG ALTER	12
414	HELLFIGHTERS SIERRA	20
415	HIGH ENCINO	22
416	HIGHBALL POTTER	21
417	HILLS NEIGHBORS	25
418	HOBBIT ALIEN	31
420	HOLES BRANNIGAN	15
421	HOLIDAY GAMES	15
422	HOLLOW JEOPARDY	10
423	HOLLYWOOD ANONYMOUS	13
424	HOLOCAUST HIGHBALL	17
425	HOLY TADPOLE	9
426	HOME PITY	14
427	HOMEWARD CIDER	16
428	HOMICIDE PEACH	22
429	HONEY TIES	19
430	HOOK CHARIOTS	13
431	HOOSIERS BIRDCAGE	8
432	HOPE TOOTSIE	18
433	HORN WORKING	24
434	HORROR REIGN	27
435	HOTEL HAPPINESS	9
436	HOURS RAGE	19
437	HOUSE DYNAMITE	23
438	HUMAN GRAFFITI	15
439	HUNCHBACK IMPOSSIBLE	20
440	HUNGER ROOF	13
441	HUNTER ALTER	5
442	HUNTING MUSKETEERS	15
443	HURRICANE AFFAIR	24
444	HUSTLER PARTY	22
445	HYDE DOCTOR	26
446	HYSTERICAL GRAIL	15
447	ICE CROSSING	24
448	IDAHO LOVE	17
449	IDENTITY LOVER	13
450	IDOLS SNATCHERS	30
451	IGBY MAKER	19
452	ILLUSION AMELIE	15
453	IMAGE PRINCESS	14
454	IMPACT ALADDIN	9
455	IMPOSSIBLE PREJUDICE	14
456	INCH JET	18
457	INDEPENDENCE HOTEL	19
458	INDIAN LOVE	16
459	INFORMER DOUBLE	5
460	INNOCENT USUAL	26
461	INSECTS STONE	18
462	INSIDER ARIZONA	20
463	INSTINCT AIRPORT	18
464	INTENTIONS EMPIRE	17
465	INTERVIEW LIAISONS	20
466	INTOLERABLE INTENTIONS	9
467	INTRIGUE WORST	20
468	INVASION CYCLONE	27
469	IRON MOON	11
470	ISHTAR ROCKETEER	7
471	ISLAND EXORCIST	26
472	ITALIAN AFRICAN	6
473	JACKET FRISCO	18
474	JADE BUNCH	18
475	JAPANESE RUN	6
476	JASON TRAP	24
477	JAWBREAKER BROOKLYN	10
478	JAWS HARRY	14
479	JEDI BENEATH	19
480	JEEPERS WEDDING	16
481	JEKYLL FROGMEN	17
482	JEOPARDY ENCINO	10
483	JERICHO MULAN	17
484	JERK PAYCHECK	20
485	JERSEY SASSY	6
486	JET NEIGHBORS	20
487	JINGLE SAGEBRUSH	13
488	JOON NORTHWEST	17
489	JUGGLER HARDLY	32
490	JUMANJI BLADE	8
491	JUMPING WRATH	24
492	JUNGLE CLOSER	9
493	KANE EXORCIST	14
494	KARATE MOON	23
496	KICK SAVANNAH	20
498	KILLER INNOCENT	6
499	KING EVOLUTION	9
500	KISS GLORY	22
501	KISSING DOLLS	20
502	KNOCK WARLOCK	24
503	KRAMER CHOCOLATE	9
504	KWAI HOMEWARD	23
505	LABYRINTH LEAGUE	15
506	LADY STAGE	17
507	LADYBUGS ARMAGEDDON	6
508	LAMBS CINCINATTI	10
509	LANGUAGE COWBOY	11
510	LAWLESS VISION	17
511	LAWRENCE LOVE	13
512	LEAGUE HELLFIGHTERS	17
513	LEATHERNECKS DWARFS	7
514	LEBOWSKI SOLDIERS	21
515	LEGALLY SECRETARY	9
516	LEGEND JEDI	9
517	LESSON CLEOPATRA	7
518	LIAISONS SWEET	22
519	LIBERTY MAGNIFICENT	12
520	LICENSE WEEKEND	7
521	LIES TREATMENT	27
522	LIFE TWISTED	10
523	LIGHTS DEER	8
524	LION UNCUT	18
525	LOATHING LEGALLY	27
526	LOCK REAR	16
527	LOLA AGENT	24
528	LOLITA WORLD	10
529	LONELY ELEPHANT	15
530	LORD ARIZONA	11
531	LOSE INCH	27
532	LOSER HUSTLER	15
533	LOST BIRD	12
534	LOUISIANA HARRY	17
535	LOVE SUICIDES	20
536	LOVELY JINGLE	14
537	LOVER TRUMAN	10
538	LOVERBOY ATTACKS	12
539	LUCK OPUS	10
540	LUCKY FLYING	13
541	LUKE MUMMY	7
542	LUST LOCK	15
543	MADIGAN DORADO	10
544	MADISON TRAP	15
545	MADNESS ATTACKS	25
546	MADRE GABLES	14
547	MAGIC MALLRATS	7
548	MAGNIFICENT CHITTY	8
549	MAGNOLIA FORRESTER	11
550	MAGUIRE APACHE	9
551	MAIDEN HOME	24
552	MAJESTIC FLOATS	17
553	MAKER GABLES	10
554	MALKOVICH PET	26
555	MALLRATS UNITED	25
556	MALTESE HOPE	22
557	MANCHURIAN CURTAIN	15
558	MANNEQUIN WORST	5
559	MARRIED GO	30
560	MARS ROMAN	19
561	MASK PEACH	17
562	MASKED BUBBLE	20
563	MASSACRE USUAL	30
564	MASSAGE IMAGE	12
565	MATRIX SNOWMAN	9
566	MAUDE MOD	8
567	MEET CHOCOLATE	12
568	MEMENTO ZOOLANDER	13
569	MENAGERIE RUSHMORE	7
570	MERMAID INSECTS	16
571	METAL ARMAGEDDON	25
572	METROPOLIS COMA	26
573	MICROCOSMOS PARADISE	13
574	MIDNIGHT WESTWARD	17
575	MIDSUMMER GROUNDHOG	22
576	MIGHTY LUCK	12
577	MILE MULAN	13
578	MILLION ACE	20
579	MINDS TRUMAN	20
580	MINE TITANS	19
581	MINORITY KISS	12
582	MIRACLE VIRTUAL	9
583	MISSION ZOOLANDER	18
584	MIXED DOORS	4
585	MOB DUFFEL	12
586	MOCKINGBIRD HOLLYWOOD	24
587	MOD SECRETARY	11
588	MODEL FISH	15
589	MODERN DORADO	15
590	MONEY HAROLD	20
591	MONSOON CAUSE	9
592	MONSTER SPARTACUS	15
593	MONTEREY LABYRINTH	13
594	MONTEZUMA COMMAND	9
595	MOON BUNCH	29
596	MOONSHINE CABIN	21
597	MOONWALKER FOOL	13
598	MOSQUITO ARMAGEDDON	15
599	MOTHER OLEANDER	14
600	MOTIONS DETAILS	16
601	MOULIN WAKE	16
602	MOURNING PURPLE	21
603	MOVIE SHAKESPEARE	27
604	MULAN MOON	13
605	MULHOLLAND BEAST	7
606	MUMMY CREATURES	16
608	MURDER ANTITRUST	23
609	MUSCLE BRIGHT	30
610	MUSIC BOONDOCK	19
611	MUSKETEERS WAIT	17
612	MUSSOLINI SPOILERS	5
613	MYSTIC TRUMAN	10
614	NAME DETECTIVE	23
615	NASH CHOCOLAT	15
616	NATIONAL STORY	19
617	NATURAL STOCK	13
618	NECKLACE OUTBREAK	15
619	NEIGHBORS CHARADE	19
620	NEMO CAMPUS	14
621	NETWORK PEAK	31
622	NEWSIES STORY	7
623	NEWTON LABYRINTH	17
624	NIGHTMARE CHILL	25
625	NONE SPIKING	27
626	NOON PAPI	17
627	NORTH TEQUILA	11
628	NORTHWEST POLISH	20
629	NOTORIOUS REUNION	14
630	NOTTING SPEAKEASY	10
631	NOVOCAINE FLIGHT	19
632	NUTS TIES	9
633	OCTOBER SUBMARINE	11
634	ODDS BOOGIE	15
635	OKLAHOMA JUMANJI	6
636	OLEANDER CLUE	10
637	OPEN AFRICAN	21
638	OPERATION OPERATION	27
639	OPPOSITE NECKLACE	13
640	OPUS ICE	11
641	ORANGE GRAPES	24
643	ORIENT CLOSER	17
644	OSCAR GOLD	25
645	OTHERS SOUP	23
646	OUTBREAK DIVINE	23
647	OUTFIELD MASSACRE	20
648	OUTLAW HANKY	14
649	OZ LIAISONS	24
650	PACIFIC AMISTAD	24
651	PACKER MADIGAN	22
652	PAJAMA JAWBREAKER	14
653	PANIC CLUB	7
654	PANKY SUBMARINE	15
655	PANTHER REDS	15
656	PAPI NECKLACE	8
657	PARADISE SABRINA	18
658	PARIS WEEKEND	14
659	PARK CITIZEN	8
660	PARTY KNOCK	13
661	PAST SUICIDES	13
662	PATHS CONTROL	10
663	PATIENT SISTER	19
664	PATRIOT ROMAN	16
665	PATTON INTERVIEW	23
666	PAYCHECK WAIT	16
667	PEACH INNOCENT	14
668	PEAK FOREVER	20
670	PELICAN COMFORTS	26
672	PERFECT GROOVE	17
673	PERSONAL LADYBUGS	14
674	PET HAUNTING	8
675	PHANTOM GLORY	6
676	PHILADELPHIA WIFE	23
677	PIANIST OUTFIELD	21
678	PICKUP DRIVING	16
679	PILOT HOOSIERS	16
680	PINOCCHIO SIMON	20
681	PIRATES ROXANNE	21
682	PITTSBURGH HUNCHBACK	12
683	PITY BOUND	26
684	PIZZA JUMANJI	7
685	PLATOON INSTINCT	9
686	PLUTO OLEANDER	16
687	POCUS PULP	26
688	POLISH BROOKLYN	18
689	POLLOCK DELIVERANCE	18
690	POND SEATTLE	19
691	POSEIDON FOREVER	17
692	POTLUCK MIXED	11
693	POTTER CONNECTICUT	17
694	PREJUDICE OLEANDER	20
695	PRESIDENT BANG	7
696	PRIDE ALAMO	16
697	PRIMARY GLASS	27
698	PRINCESS GIANT	27
699	PRIVATE DROP	5
700	PRIX UNDEFEATED	11
702	PULP BEVERLY	30
703	PUNK DIVORCE	8
704	PURE RUNNER	16
705	PURPLE MOVIE	13
706	QUEEN LUKE	22
707	QUEST MUSSOLINI	20
708	QUILLS BULL	16
709	RACER EGG	18
710	RAGE GAMES	19
711	RAGING AIRPLANE	13
714	RANDOM GO	9
715	RANGE MOONWALKER	27
716	REAP UNFAITHFUL	16
717	REAR TRADING	17
718	REBEL AIRPORT	8
719	RECORDS ZORRO	8
720	REDEMPTION COMFORTS	20
721	REDS POCUS	9
722	REEF SALUTE	11
723	REIGN GENTLEMEN	20
724	REMEMBER DIARY	18
725	REQUIEM TYCOON	19
726	RESERVOIR ADAPTATION	10
727	RESURRECTION SILVERADO	21
728	REUNION WITCHES	20
729	RIDER CADDYSHACK	11
730	RIDGEMONT SUBMARINE	32
731	RIGHT CRANES	10
732	RINGS HEARTBREAKERS	15
733	RIVER OUTLAW	20
734	ROAD ROXANNE	19
735	ROBBERS JOON	31
736	ROBBERY BRIGHT	13
737	ROCK INSTINCT	17
738	ROCKETEER MOTHER	33
739	ROCKY WAR	16
740	ROLLERCOASTER BRINGING	10
741	ROMAN PUNK	24
743	ROOM ROMAN	20
744	ROOTS REMEMBER	17
745	ROSES TREASURE	28
746	ROUGE SQUAD	18
747	ROXANNE REBEL	19
748	RUGRATS SHAKESPEARE	30
749	RULES HUMAN	16
750	RUN PACIFIC	10
751	RUNAWAY TENENBAUMS	8
752	RUNNER MADIGAN	8
753	RUSH GOODFELLAS	31
754	RUSHMORE MERMAID	6
755	SABRINA MIDNIGHT	21
756	SADDLE ANTITRUST	14
757	SAGEBRUSH CLUELESS	16
758	SAINTS BRIDE	8
759	SALUTE APOLLO	23
760	SAMURAI LION	25
761	SANTA PARIS	11
762	SASSY PACKER	13
763	SATISFACTION CONFIDENTIAL	17
764	SATURDAY LAMBS	28
765	SATURN NAME	13
766	SAVANNAH TOWN	12
767	SCALAWAG DUCK	32
768	SCARFACE BANG	18
769	SCHOOL JACKET	6
770	SCISSORHANDS SLUMS	15
771	SCORPION APOLLO	23
772	SEA VIRGIN	22
773	SEABISCUIT PUNK	26
774	SEARCHERS WAIT	14
775	SEATTLE EXPECATIONS	24
776	SECRET GROUNDHOG	21
777	SECRETARY ROUGE	18
778	SECRETS PARADISE	20
779	SENSE GREEK	7
780	SENSIBILITY REAR	10
781	SEVEN SWARM	5
782	SHAKESPEARE SADDLE	22
783	SHANE DARKNESS	14
784	SHANGHAI TYCOON	14
785	SHAWSHANK BUBBLE	19
786	SHEPHERD MIDSUMMER	25
787	SHINING ROSES	8
788	SHIP WONDERLAND	15
789	SHOCK CABIN	30
790	SHOOTIST SUPERFLY	24
791	SHOW LORD	25
792	SHREK LICENSE	15
793	SHRUNK DIVINE	14
794	SIDE ARK	12
795	SIEGE MADRE	15
796	SIERRA DIVIDE	15
797	SILENCE KANE	16
798	SILVERADO GOLDFINGER	12
799	SIMON NORTH	6
800	SINNERS ATLANTIS	22
803	SLACKER LIAISONS	17
804	SLEEPING SUSPECTS	24
805	SLEEPLESS MONSOON	20
806	SLEEPY JAPANESE	21
807	SLEUTH ORIENT	21
808	SLING LUKE	6
809	SLIPPER FIDELITY	16
810	SLUMS DUCK	24
811	SMILE EARRING	10
812	SMOKING BARBARELLA	18
813	SMOOCHY CONTROL	12
814	SNATCH SLIPPER	22
815	SNATCHERS MONTEZUMA	9
816	SNOWMAN ROLLERCOASTER	23
817	SOLDIERS EVOLUTION	8
818	SOMETHING DUCK	19
819	SONG HEDWIG	11
820	SONS INTERVIEW	15
821	SORORITY QUEEN	12
822	SOUP WISDOM	8
823	SOUTH WAIT	22
824	SPARTACUS CHEAPER	9
825	SPEAKEASY DATE	12
826	SPEED SUIT	9
827	SPICE SORORITY	20
828	SPIKING ELEMENT	13
829	SPINAL ROCKY	13
830	SPIRIT FLINTSTONES	15
831	SPIRITED CASUALTIES	11
832	SPLASH GUMP	14
833	SPLENDOR PATTON	21
834	SPOILERS HELLFIGHTERS	10
835	SPY MILE	27
836	SQUAD FISH	7
837	STAGE WORLD	10
838	STAGECOACH ARMAGEDDON	26
839	STALLION SUNDANCE	7
840	STAMPEDE DISTURBING	14
841	STAR OPERATION	21
842	STATE WASTELAND	13
843	STEEL SANTA	23
844	STEERS ARMAGEDDON	15
845	STEPMOM DREAM	20
846	STING PERSONAL	21
847	STOCK GLASS	14
848	STONE FIRE	11
849	STORM HAPPINESS	29
850	STORY SIDE	28
851	STRAIGHT HOURS	20
852	STRANGELOVE DESIRE	24
853	STRANGER STRANGERS	11
854	STRANGERS GRAFFITI	17
855	STREAK RIDGEMONT	16
856	STREETCAR INTENTIONS	25
857	STRICTLY SCARFACE	23
858	SUBMARINE BED	15
859	SUGAR WONKA	17
861	SUIT WALLS	21
862	SUMMER SCARFACE	16
863	SUN CONFESSIONS	25
864	SUNDANCE INVASION	19
865	SUNRISE LEAGUE	24
866	SUNSET RACER	8
867	SUPER WYOMING	13
868	SUPERFLY TRIP	10
869	SUSPECTS QUILLS	30
870	SWARM GOLD	27
871	SWEDEN SHINING	18
872	SWEET BROTHERHOOD	15
873	SWEETHEARTS SUSPECTS	29
875	TALENTED HOMICIDE	29
876	TARZAN VIDEOTAPE	8
877	TAXI KICK	17
878	TEEN APOLLO	17
879	TELEGRAPH VOYAGE	27
880	TELEMARK HEARTBREAKERS	25
881	TEMPLE ATTRACTION	12
882	TENENBAUMS COMMAND	13
883	TEQUILA PAST	6
884	TERMINATOR CLUB	6
885	TEXAS WATCH	6
886	THEORY MERMAID	11
887	THIEF PELICAN	19
888	THIN SAGEBRUSH	11
889	TIES HUNGER	11
890	TIGHTS DAWN	26
891	TIMBERLAND SKY	31
892	TITANIC BOONDOCK	23
893	TITANS JERK	29
894	TOMATOES HELLFIGHTERS	14
895	TOMORROW HUSTLER	25
896	TOOTSIE PILOT	15
897	TORQUE BOUND	27
898	TOURIST PELICAN	22
899	TOWERS HURRICANE	11
900	TOWN ARK	14
901	TRACY CIDER	26
902	TRADING PINOCCHIO	25
903	TRAFFIC HOBBIT	5
904	TRAIN BUNCH	4
905	TRAINSPOTTING STRANGERS	11
906	TRAMP OTHERS	20
907	TRANSLATION SUMMER	15
908	TRAP GUYS	16
910	TREATMENT JEKYLL	7
911	TRIP NEWTON	28
912	TROJAN TOMORROW	19
913	TROOPERS METAL	14
914	TROUBLE DATE	23
915	TRUMAN CRAZY	23
916	TURN STAR	14
917	TUXEDO MILE	13
918	TWISTED PIRATES	11
919	TYCOON GATHERING	12
