6:  Lista solo las películas que tienen al menos 5 copias en inventario.
film_id	title	copies_5plus
149	CHRISTMAS MOONSHINE	6
150	CIDER DESIRE	6
154	CLASH FREDDY	7
155	CLEOPATRA DEVIL	5
158	CLONES PINOCCHIO	5
159	CLOSER BANG	7
160	CLUB GRAFFITI	5
162	CLUELESS BUCKET	7
164	COAST RAINBOW	5
165	COLDBLOODED DARLING	5
166	COLOR PHILADELPHIA	6
167	COMA HEAD	7
170	COMMAND DARLING	6
172	CONEHEADS SMOOCHY	7
173	CONFESSIONS MAGUIRE	5
174	CONFIDENTIAL INTERVIEW	8
175	CONFUSED CANDLES	5
176	CONGENIALITY QUEST	6
181	CONTACT ANONYMOUS	7
183	CONVERSATION DOWNHILL	6
184	CORE SUIT	5
189	CREATURES SHAKESPEARE	6
191	CROOKED FROGMEN	6
193	CROSSROADS CASUALTIES	8
199	CUPBOARD SINNERS	8
200	CURTAIN VIDEOTAPE	8
204	DALMATIONS SWEDEN	6
206	DANCING FEVER	8
212	DARN FORRESTER	5
215	DAWN POND	6
216	DAY UNFAITHFUL	5
218	DECEIVER BETRAYED	7
220	DEER VIRGINIAN	8
222	DESERT POSEIDON	6
226	DESTINY SATURDAY	5
227	DETAILS PACKER	5
228	DETECTIVE VISION	7
231	DINOSAUR SECRETARY	8
232	DIRTY ACE	5
233	DISCIPLE MOTHER	6
234	DISTURBING SCARFACE	7
235	DIVIDE MONSTER	6
239	DOGMA FAMILY	8
242	DOOM DANCING	5
243	DOORS PRESIDENT	6
244	DORADO NOTTING	7
245	DOUBLE WRATH	7
247	DOWNHILL ENOUGH	7
249	DRACULA CRYSTAL	6
251	DRAGONFLY STRANGERS	5
252	DREAM PICKUP	6
253	DRIFTER COMMANDMENTS	6
254	DRIVER ANNIE	5
255	DRIVING POLISH	6
263	DURHAM PANKY	7
266	DYNAMITE TARZAN	8
267	EAGLES PANKY	6
269	EARRING INSTINCT	6
270	EARTH VISION	7
271	EASY GLADIATOR	5
273	EFFECT GLADIATOR	7
274	EGG IGBY	7
275	EGYPT TENENBAUMS	5
280	EMPIRE MALKOVICH	6
281	ENCINO ELF	6
282	ENCOUNTERS CURTAIN	6
284	ENEMY ODDS	7
285	ENGLISH BULWORTH	7
286	ENOUGH RAGING	5
288	ESCAPE METROPOLIS	6
292	EXCITEMENT EVE	6
293	EXORCIST STING	5
294	EXPECATIONS NATURAL	5
295	EXPENDABLE STALLION	8
298	EYES DRIVING	5
300	FALCON VOLUME	6
301	FAMILY SWEET	8
302	FANTASIA PARK	6
303	FANTASY TROOPERS	6
304	FARGO GANDHI	6
305	FATAL HAUNTED	7
307	FELLOWSHIP AUTUMN	6
309	FEUD FROGMEN	6
311	FICTION CHRISTMAS	7
313	FIDELITY DEVIL	6
314	FIGHT JAWBREAKER	6
317	FIREBALL PHILADELPHIA	7
319	FISH OPUS	7
320	FLAMINGOS CONNECTICUT	7
322	FLATLINERS KILLER	6
324	FLINTSTONES HAPPINESS	5
326	FLYING HOOK	6
327	FOOL MOCKINGBIRD	6
329	FORREST SONS	6
330	FORRESTER COMANCHEROS	7
331	FORWARD TEMPLE	8
334	FREDDY STORM	6
336	FRENCH HOLIDAY	5
341	FROST HEAD	8
344	FURY MURDER	5
345	GABLES METROPOLIS	5
346	GALAXY SWEETHEARTS	6
349	GANGS PRIDE	7
350	GARDEN ISLAND	8
351	GASLIGHT CRUSADE	6
353	GENTLEMEN STAGE	6
354	GHOST GROUNDHOG	5
356	GIANT TROOPERS	8
358	GILMORE BOILED	8
361	GLEAMING JAWBREAKER	8
363	GO PURPLE	6
366	GOLDFINGER SENSIBILITY	7
367	GOLDMINE TYCOON	7
369	GOODFELLAS SALUTE	8
370	GORGEOUS BINGO	5
373	GRADUATE LORD	5
374	GRAFFITI LOVE	7
376	GRAPES FURY	7
377	GREASE YOUTH	6
378	GREATEST NORTH	8
380	GREEK EVERYONE	5
381	GRINCH MASSAGE	5
382	GRIT CLOCKWORK	8
383	GROOVE FICTION	5
385	GROUNDHOG UNCUT	5
387	GUN BONNIE	6
388	GUNFIGHT MOON	6
391	HALF OUTFIELD	7
392	HALL CASSIDY	6
395	HANDICAP BOONDOCK	6
397	HANKY OCTOBER	7
402	HARPER DYING	6
403	HARRY IDAHO	8
406	HAUNTING PIANIST	6
408	HEAD STRANGER	7
409	HEARTBREAKERS BRIGHT	7
410	HEAVEN FREEDOM	5
412	HEAVYWEIGHTS BEAST	8
414	HELLFIGHTERS SIERRA	6
415	HIGH ENCINO	6
416	HIGHBALL POTTER	6
417	HILLS NEIGHBORS	6
418	HOBBIT ALIEN	8
420	HOLES BRANNIGAN	5
424	HOLOCAUST HIGHBALL	5
428	HOMICIDE PEACH	6
429	HONEY TIES	6
432	HOPE TOOTSIE	5
433	HORN WORKING	6
434	HORROR REIGN	8
436	HOURS RAGE	6
437	HOUSE DYNAMITE	6
438	HUMAN GRAFFITI	5
439	HUNCHBACK IMPOSSIBLE	6
443	HURRICANE AFFAIR	7
444	HUSTLER PARTY	8
445	HYDE DOCTOR	6
447	ICE CROSSING	7
448	IDAHO LOVE	5
450	IDOLS SNATCHERS	7
451	IGBY MAKER	5
453	IMAGE PRINCESS	5
456	INCH JET	6
457	INDEPENDENCE HOTEL	6
458	INDIAN LOVE	6
460	INNOCENT USUAL	8
461	INSECTS STONE	6
462	INSIDER ARIZONA	5
463	INSTINCT AIRPORT	5
464	INTENTIONS EMPIRE	7
465	INTERVIEW LIAISONS	5
467	INTRIGUE WORST	7
468	INVASION CYCLONE	8
471	ISLAND EXORCIST	7
473	JACKET FRISCO	5
476	JASON TRAP	7
478	JAWS HARRY	5
479	JEDI BENEATH	5
481	JEKYLL FROGMEN	6
483	JERICHO MULAN	5
484	JERK PAYCHECK	7
486	JET NEIGHBORS	6
488	JOON NORTHWEST	5
489	JUGGLER HARDLY	8
491	JUMPING WRATH	6
494	KARATE MOON	6
496	KICK SAVANNAH	5
500	KISS GLORY	8
501	KISSING DOLLS	5
502	KNOCK WARLOCK	7
504	KWAI HOMEWARD	6
506	LADY STAGE	6
511	LAWRENCE LOVE	5
512	LEAGUE HELLFIGHTERS	6
514	LEBOWSKI SOLDIERS	6
518	LIAISONS SWEET	6
521	LIES TREATMENT	7
524	LION UNCUT	6
525	LOATHING LEGALLY	8
527	LOLA AGENT	6
531	LOSE INCH	8
534	LOUISIANA HARRY	5
536	LOVELY JINGLE	5
542	LUST LOCK	6
545	MADNESS ATTACKS	6
551	MAIDEN HOME	6
554	MALKOVICH PET	7
555	MALLRATS UNITED	7
556	MALTESE HOPE	7
557	MANCHURIAN CURTAIN	5
559	MARRIED GO	8
560	MARS ROMAN	5
562	MASKED BUBBLE	6
563	MASSACRE USUAL	7
570	MERMAID INSECTS	5
571	METAL ARMAGEDDON	6
572	METROPOLIS COMA	8
574	MIDNIGHT WESTWARD	5
575	MIDSUMMER GROUNDHOG	6
578	MILLION ACE	5
579	MINDS TRUMAN	7
580	MINE TITANS	6
583	MISSION ZOOLANDER	5
586	MOCKINGBIRD HOLLYWOOD	8
590	MONEY HAROLD	7
595	MOON BUNCH	8
596	MOONSHINE CABIN	6
599	MOTHER OLEANDER	5
601	MOULIN WAKE	5
602	MOURNING PURPLE	5
603	MOVIE SHAKESPEARE	6
606	MUMMY CREATURES	6
608	MURDER ANTITRUST	6
609	MUSCLE BRIGHT	8
610	MUSIC BOONDOCK	5
611	MUSKETEERS WAIT	6
614	NAME DETECTIVE	6
616	NATIONAL STORY	6
619	NEIGHBORS CHARADE	6
620	NEMO CAMPUS	5
621	NETWORK PEAK	8
623	NEWTON LABYRINTH	5
624	NIGHTMARE CHILL	7
625	NONE SPIKING	7
628	NORTHWEST POLISH	5
631	NOVOCAINE FLIGHT	5
637	OPEN AFRICAN	5
638	OPERATION OPERATION	8
641	ORANGE GRAPES	7
643	ORIENT CLOSER	6
644	OSCAR GOLD	7
645	OTHERS SOUP	6
646	OUTBREAK DIVINE	5
647	OUTFIELD MASSACRE	6
648	OUTLAW HANKY	6
649	OZ LIAISONS	6
650	PACIFIC AMISTAD	6
651	PACKER MADIGAN	6
655	PANTHER REDS	6
657	PARADISE SABRINA	6
663	PATIENT SISTER	5
664	PATRIOT ROMAN	5
665	PATTON INTERVIEW	7
666	PAYCHECK WAIT	5
668	PEAK FOREVER	5
670	PELICAN COMFORTS	7
672	PERFECT GROOVE	6
676	PHILADELPHIA WIFE	6
677	PIANIST OUTFIELD	7
680	PINOCCHIO SIMON	6
681	PIRATES ROXANNE	6
683	PITY BOUND	8
687	POCUS PULP	7
689	POLLOCK DELIVERANCE	6
690	POND SEATTLE	6
691	POSEIDON FOREVER	5
693	POTTER CONNECTICUT	5
694	PREJUDICE OLEANDER	6
696	PRIDE ALAMO	5
697	PRIMARY GLASS	8
698	PRINCESS GIANT	7
702	PULP BEVERLY	8
704	PURE RUNNER	5
706	QUEEN LUKE	6
707	QUEST MUSSOLINI	6
709	RACER EGG	6
710	RAGE GAMES	6
715	RANGE MOONWALKER	7
716	REAP UNFAITHFUL	5
720	REDEMPTION COMFORTS	7
723	REIGN GENTLEMEN	7
724	REMEMBER DIARY	6
725	REQUIEM TYCOON	6
727	RESURRECTION SILVERADO	5
728	REUNION WITCHES	5
730	RIDGEMONT SUBMARINE	8
733	RIVER OUTLAW	7
734	ROAD ROXANNE	6
735	ROBBERS JOON	7
737	ROCK INSTINCT	6
738	ROCKETEER MOTHER	8
739	ROCKY WAR	5
741	ROMAN PUNK	6
743	ROOM ROMAN	6
744	ROOTS REMEMBER	5
745	ROSES TREASURE	8
746	ROUGE SQUAD	5
747	ROXANNE REBEL	5
748	RUGRATS SHAKESPEARE	8
753	RUSH GOODFELLAS	8
755	SABRINA MIDNIGHT	7
757	SAGEBRUSH CLUELESS	5
759	SALUTE APOLLO	6
760	SAMURAI LION	7
763	SATISFACTION CONFIDENTIAL	5
764	SATURDAY LAMBS	8
767	SCALAWAG DUCK	8
768	SCARFACE BANG	6
771	SCORPION APOLLO	7
772	SEA VIRGIN	6
773	SEABISCUIT PUNK	8
775	SEATTLE EXPECATIONS	5
776	SECRET GROUNDHOG	5
777	SECRETARY ROUGE	6
778	SECRETS PARADISE	6
782	SHAKESPEARE SADDLE	6
784	SHANGHAI TYCOON	6
785	SHAWSHANK BUBBLE	6
786	SHEPHERD MIDSUMMER	7
789	SHOCK CABIN	8
790	SHOOTIST SUPERFLY	7
791	SHOW LORD	6
796	SIERRA DIVIDE	5
797	SILENCE KANE	5
800	SINNERS ATLANTIS	6
803	SLACKER LIAISONS	6
804	SLEEPING SUSPECTS	7
805	SLEEPLESS MONSOON	5
806	SLEEPY JAPANESE	5
807	SLEUTH ORIENT	5
810	SLUMS DUCK	7
812	SMOKING BARBARELLA	6
814	SNATCH SLIPPER	7
816	SNOWMAN ROLLERCOASTER	7
818	SOMETHING DUCK	5
820	SONS INTERVIEW	6
823	SOUTH WAIT	7
827	SPICE SORORITY	6
829	SPINAL ROCKY	5
833	SPLENDOR PATTON	7
835	SPY MILE	8
838	STAGECOACH ARMAGEDDON	6
841	STAR OPERATION	7
843	STEEL SANTA	7
845	STEPMOM DREAM	7
846	STING PERSONAL	8
849	STORM HAPPINESS	8
850	STORY SIDE	7
851	STRAIGHT HOURS	6
852	STRANGELOVE DESIRE	7
856	STREETCAR INTENTIONS	8
857	STRICTLY SCARFACE	7
859	SUGAR WONKA	6
861	SUIT WALLS	6
862	SUMMER SCARFACE	5
863	SUN CONFESSIONS	7
864	SUNDANCE INVASION	6
865	SUNRISE LEAGUE	6
869	SUSPECTS QUILLS	7
870	SWARM GOLD	8
871	SWEDEN SHINING	5
873	SWEETHEARTS SUSPECTS	8
875	TALENTED HOMICIDE	7
877	TAXI KICK	5
879	TELEGRAPH VOYAGE	7
880	TELEMARK HEARTBREAKERS	8
887	THIEF PELICAN	6
890	TIGHTS DAWN	7
891	TIMBERLAND SKY	7
892	TITANIC BOONDOCK	7
893	TITANS JERK	8
894	TOMATOES HELLFIGHTERS	5
895	TOMORROW HUSTLER	7
897	TORQUE BOUND	8
898	TOURIST PELICAN	5
901	TRACY CIDER	7
902	TRADING PINOCCHIO	7
906	TRAMP OTHERS	5
911	TRIP NEWTON	8
912	TROJAN TOMORROW	6
913	TROOPERS METAL	6
914	TROUBLE DATE	6
915	TRUMAN CRAZY	6
917	TUXEDO MILE	5
920	UNBREAKABLE KARATE	5
922	UNDEFEATED DALMATIONS	7
924	UNFORGIVEN ZOOLANDER	5
925	UNITED PILOT	5
930	VACATION BOONDOCK	6
936	VANISHING ROCKY	6
937	VARSITY TRIP	5
938	VELVET TERMINATOR	6
941	VIDEOTAPE ARSENIC	7
944	VIRGIN DAISY	5
945	VIRGINIAN PLUTO	8
948	VOICE PEACH	6
949	VOLCANO TEXAS	6
951	VOYAGE LEGALLY	7
953	WAIT CIDER	6
957	WAR NOTTING	5
958	WARDROBE PHANTOM	6
961	WASH HEAVENLY	5
963	WATCH TRACY	5
964	WATERFRONT DELIVERANCE	5
966	WEDDING APOLLO	6
967	WEEKEND PERSONAL	5
970	WESTWARD SEABISCUIT	7
972	WHISPERER GIANT	6
973	WIFE TURN	8
975	WILLOW TRACY	5
976	WIND PHANTOM	6
979	WITCHES PANIC	7
980	WIZARD COLDBLOODED	5
981	WOLVES DESIRE	6
982	WOMEN DORADO	7
985	WONDERLAND CHRISTMAS	7
986	WONKA SEA	6
988	WORKER TARZAN	5
989	WORKING MICROCOSMOS	6
991	WORST BANGER	5
993	WRONG BEHAVIOR	7
995	YENTL IDAHO	6
999	ZOOLANDER FICTION	5
1000	ZORRO ARK	8

